"TOA5","25922","CR1000X","25922","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 09:20:00",0,38.08,30.07,2433,2098,328.757,3.006
"2022-05-03 09:40:00",1,34.47,28.88,2282,2048,329.719,3.002
"2022-05-03 10:00:00",2,38.27,29.45,2441,2072,329.893,3.005
"2022-05-03 10:20:00",3,37.17,29.74,2395,2084,329.593,3.005
"2022-05-03 10:40:00",4,36.77,29.88,2378,2090,329.003,3.001
"2022-05-03 11:00:00",5,35.19,29.21,2312,2062,329.807,3.005
"2022-05-03 11:20:00",6,33.78,28.31,2253,2024,328.709,3.001
"2022-05-03 11:40:00",7,35.31,29.52,2317,2075,328.929,3.004
"2022-05-03 12:00:00",8,38.23,30.65,2439,2122,328.665,3.004
"2022-05-03 12:20:00",9,36.27,30.05,2357,2097,327.788,3.002
"2022-05-03 12:40:00",10,37.96,29.88,2428,2090,328.908,3.004
"2022-05-03 13:00:00",11,35.21,28.9,2313,2049,329.147,3.001
"2022-05-03 13:20:00",12,39.04,29.91,2473,2091,330.588,3.004
"2022-05-03 13:40:00",13,37.49,30.12,2408,2100,329.765,3.002
"2022-05-03 14:00:00",14,36.79,30.03,2379,2096,329.987,3.002
"2022-05-03 14:20:00",15,37.94,30.82,2427,2129,330.56,3.005
"2022-05-03 14:40:00",16,38.68,31.25,2458,2147,329.455,3.001
"2022-05-03 15:00:00",17,38.06,30.89,2432,2132,329.501,3.001
"2022-05-03 15:20:00",18,38.06,30.77,2432,2127,329.504,3.002
"2022-05-03 15:40:00",19,38.44,30.93,2448,2134,329.02,3.001
"2022-05-03 16:00:00",20,38.87,30.91,2466,2133,329.65,3.001
"2022-05-03 16:20:00",21,38.58,30.82,2454,2129,329.007,3.002
"2022-05-03 16:40:00",22,38.61,30.82,2455,2129,329.045,3.001
"2022-05-03 17:00:00",23,40.33,31.39,2527,2153,329.576,3.006
"2022-05-03 17:20:00",24,38.58,31.27,2454,2148,328.052,3.002
"2022-05-03 17:40:00",25,38.23,31.13,2439,2142,328.682,3.005
"2022-05-03 18:00:00",26,40.09,32.15,2517,2185,327.401,3.001
"2022-05-03 18:20:00",27,39.83,31.46,2506,2156,326.956,3.002
"2022-05-03 18:40:00",28,40.93,31.89,2552,2174,326.544,3.002
"2022-05-03 19:00:00",29,41.02,31.82,2556,2171,326.13,3.002
"2022-05-03 19:20:00",30,42.62,32.32,2623,2192,326.191,3.002
"2022-05-03 19:40:00",31,40.88,31.94,2550,2176,325.373,3.001
"2022-05-03 20:00:00",32,40.9,32.08,2551,2182,325.397,3.001
"2022-05-03 20:20:00",33,40.71,31.82,2543,2171,325.376,3.002
"2022-05-03 20:40:00",34,40.26,31.84,2524,2172,324.791,3.002
"2022-05-03 21:00:00",35,39.73,31.58,2502,2161,324.604,3.001
"2022-05-03 21:20:00",36,40.35,31.32,2528,2150,325.287,3.001
"2022-05-03 21:40:00",37,39.61,30.86,2497,2131,324.792,3.002
"2022-05-03 22:00:00",38,39.9,30.86,2509,2131,325.465,3.005
"2022-05-03 22:20:00",39,39.4,30.6,2488,2120,324.517,3.001
"2022-05-03 22:40:00",40,39.13,30.62,2477,2121,323.969,3.001
"2022-05-03 23:00:00",41,39.11,30.38,2476,2111,323.929,3.001
"2022-05-03 23:20:00",42,39.45,30.74,2490,2126,323.944,3.002
"2022-05-03 23:40:00",43,40.43,31.2,2531,2145,323.828,3.002
"2022-05-04 00:00:00",44,40.45,31.48,2532,2157,324.001,3.002
"2022-05-04 00:20:00",45,40.28,31.22,2525,2146,323.891,3.002
"2022-05-04 00:40:00",46,39.71,31.05,2501,2139,323.581,3.002
"2022-05-04 01:00:00",47,39.68,30.89,2500,2132,323.421,3.001
"2022-05-04 01:20:00",48,39.66,30.98,2499,2136,323.252,3.002
"2022-05-04 01:40:00",49,39.28,30.86,2483,2131,323.888,3.003
"2022-05-04 02:00:00",50,38.85,30.53,2465,2117,323.325,3.001
"2022-05-04 02:20:00",51,39.66,30.89,2499,2132,323.333,3.001
"2022-05-04 02:40:00",52,39.4,30.82,2488,2129,323.709,3.002
"2022-05-04 03:00:00",53,38.85,30.77,2465,2127,323.359,3.001
