"TOA5","25922","CR1000X","25922","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 09:20:00",0,0.089,2.52,1.35,0.13392,0.07162,0.13962,0.07372,52.323,47.416
"2022-05-03 09:40:00",1,0.092,2.52,1.53,0.13353,0.08158,0.13848,0.08128,55.522,48.394
"2022-05-03 10:00:00",2,0.117,3.48,1.57,0.18458,0.08306,0.18337,0.08226,51.591,47.612
"2022-05-03 10:20:00",3,0.108,3.23,1.43,0.1715,0.07613,0.16731,0.0804,52.626,48.803
"2022-05-03 10:40:00",4,0.108,3.27,1.38,0.17368,0.07369,0.16943,0.07586,51.618,47.121
"2022-05-03 11:00:00",5,0.099,2.78,1.55,0.14771,0.0822,0.1491,0.07946,54.912,48.609
"2022-05-03 11:20:00",6,0.106,3.05,1.55,0.1622,0.08275,0.1657,0.08058,54.374,49.722
"2022-05-03 11:40:00",7,0.097,2.75,1.47,0.1459,0.07822,0.14992,0.08022,54.819,48.929
"2022-05-03 12:00:00",8,0.127,3.98,1.42,0.21196,0.07567,0.20332,0.07712,50.993,46.755
"2022-05-03 12:20:00",9,0.102,2.95,1.5,0.15684,0.08002,0.16236,0.08138,53.422,47.944
"2022-05-03 12:40:00",10,0.118,3.65,1.38,0.19414,0.07369,0.18926,0.07586,51.981,48.312
"2022-05-03 13:00:00",11,0.089,2.4,1.5,0.12758,0.07943,0.13498,0.07911,53.932,49.281
"2022-05-03 13:20:00",12,0.092,2.82,1.13,0.14942,0.0606,0.14746,0.06816,51.249,48.252
"2022-05-03 13:40:00",13,0.099,2.9,1.4,0.15365,0.07429,0.15588,0.07848,51.617,47.38
"2022-05-03 14:00:00",14,0.097,2.8,1.43,0.1483,0.07654,0.15071,0.07829,52.402,48.162
"2022-05-03 14:20:00",15,0.099,2.8,1.53,0.14865,0.08106,0.15061,0.08199,50.694,46.869
"2022-05-03 14:40:00",16,0.14,4.38,1.57,0.23242,0.08281,0.2145,0.08294,50.337,46.253
"2022-05-03 15:00:00",17,0.105,2.98,1.58,0.15878,0.08444,0.15458,0.08489,52.238,47.585
"2022-05-03 15:20:00",18,0.108,3.18,1.48,0.16904,0.07854,0.16388,0.0796,52.669,46.776
"2022-05-03 15:40:00",19,0.111,3.33,1.43,0.17728,0.0762,0.1685,0.07749,51.75,47.509
"2022-05-03 16:00:00",20,0.091,2.57,1.38,0.13592,0.07328,0.13814,0.0773,51.14,47.313
"2022-05-03 16:20:00",21,0.088,2.48,1.38,0.13194,0.07328,0.13468,0.0773,51.338,46.944
"2022-05-03 16:40:00",22,0.104,3.03,1.48,0.16116,0.07875,0.15638,0.07983,50.932,46.433
"2022-05-03 17:00:00",23,0.096,2.85,1.3,0.15121,0.06916,0.15136,0.07555,49.885,46.731
