"TOA5","25922","CR1000X","25922","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Temp_Data"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer","Max_Temp_Down_Outer","Post_Temp_Down_Outer","Pre_Temp_Upper_Outer","Max_Temp_Upper_Outer","Post_Temp_Upper_Outer","Pre_Temp_Down_Inner","Max_Temp_Down_Inner","Post_Temp_Down_Inner","Pre_Temp_Upper_Inner","Max_Temp_Upper_Inner","Post_Temp_Upper_Inner"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 09:20:00",0,16.007,0.376,16.366,16.22,0.327,16.534,15.759,0.436,16.164,15.956,0.405,16.333
"2022-05-03 09:40:00",1,16.238,0.402,16.63,16.443,0.35,16.786,15.958,0.448,16.379,16.151,0.413,16.539
"2022-05-03 10:00:00",2,16.594,0.376,16.95,16.814,0.313,17.11,16.298,0.443,16.712,16.479,0.408,16.86
"2022-05-03 10:20:00",3,16.556,0.383,16.924,16.743,0.324,17.053,16.368,0.44,16.777,16.562,0.406,16.941
"2022-05-03 10:40:00",4,16.618,0.385,16.988,16.779,0.325,17.09,16.454,0.438,16.862,16.637,0.406,17.016
"2022-05-03 11:00:00",5,16.811,0.397,17.197,16.971,0.342,17.304,16.604,0.445,17.022,16.776,0.411,17.161
"2022-05-03 11:20:00",6,17.183,0.406,17.577,17.346,0.344,17.681,16.898,0.452,17.326,17.035,0.417,17.429
"2022-05-03 11:40:00",7,17.408,0.395,17.791,17.553,0.34,17.884,17.181,0.441,17.593,17.324,0.407,17.705
"2022-05-03 12:00:00",8,17.472,0.375,17.828,17.594,0.306,17.882,17.317,0.431,17.715,17.473,0.399,17.842
"2022-05-03 12:20:00",9,17.384,0.387,17.756,17.515,0.329,17.833,17.275,0.435,17.678,17.452,0.401,17.824
"2022-05-03 12:40:00",10,17.655,0.377,18.012,17.826,0.312,18.12,17.477,0.438,17.885,17.649,0.406,18.028
"2022-05-03 13:00:00",11,17.847,0.396,18.231,18.026,0.346,18.364,17.628,0.447,18.047,17.791,0.413,18.178
"2022-05-03 13:20:00",12,18.092,0.372,18.445,18.268,0.321,18.572,17.882,0.44,18.29,18.022,0.411,18.406
"2022-05-03 13:40:00",13,18.081,0.381,18.446,18.271,0.326,18.584,17.937,0.437,18.342,18.118,0.404,18.494
"2022-05-03 14:00:00",14,18.089,0.386,18.459,18.253,0.332,18.572,17.962,0.438,18.369,18.143,0.405,18.52
"2022-05-03 14:20:00",15,17.97,0.379,18.332,18.099,0.326,18.411,17.921,0.432,18.319,18.115,0.398,18.482
"2022-05-03 14:40:00",16,17.767,0.373,18.119,17.905,0.301,18.184,17.811,0.427,18.201,18.045,0.393,18.404
"2022-05-03 15:00:00",17,17.507,0.377,17.868,17.651,0.323,17.959,17.584,0.43,17.979,17.847,0.395,18.21
"2022-05-03 15:20:00",18,17.475,0.377,17.835,17.617,0.32,17.921,17.514,0.431,17.911,17.762,0.398,18.129
"2022-05-03 15:40:00",19,17.36,0.374,17.717,17.507,0.316,17.806,17.426,0.429,17.821,17.681,0.397,18.047
"2022-05-03 16:00:00",20,17.305,0.372,17.659,17.475,0.324,17.784,17.372,0.43,17.768,17.64,0.398,18.008
"2022-05-03 16:20:00",21,17.181,0.373,17.537,17.329,0.326,17.641,17.268,0.43,17.664,17.535,0.398,17.903
"2022-05-03 16:40:00",22,17.104,0.373,17.46,17.279,0.319,17.582,17.204,0.43,17.6,17.494,0.397,17.86
"2022-05-03 17:00:00",23,16.999,0.363,17.341,17.196,0.312,17.49,17.142,0.426,17.531,17.448,0.395,17.811
"2022-05-03 17:20:00",24,16.709,0.372,17.063,16.913,0.322,17.22,16.92,0.425,17.31,17.266,0.392,17.626
