"TOA5","31219","CR1000X","31219","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,0.462,13.26,6.8,0.70463,0.36098,0.67471,0.25207,44.617,48.797
"2022-05-03 12:00:00",1,0.476,13.7,7,0.72755,0.37198,0.70739,0.26238,44.476,49.069
"2022-05-03 12:20:00",2,0.506,14.41,7.61,0.76558,0.4041,0.74786,0.28683,45.262,48.875
"2022-05-03 12:40:00",3,0.533,15.18,8.03,0.80655,0.42674,0.80129,0.31192,43.284,49.371
"2022-05-03 13:00:00",4,0.556,16.03,8.1,0.85105,0.43052,0.80691,0.30317,42.832,47.683
"2022-05-03 13:20:00",5,0.57,16.11,8.76,0.85565,0.46524,0.86159,0.35032,41.801,48.304
"2022-05-03 13:40:00",6,0.57,16.38,8.41,0.87034,0.44738,0.86477,0.34218,46.019,49.631
"2022-05-03 14:00:00",7,0.6,17.55,8.41,0.93216,0.4472,0.8922,0.33308,44.271,48.967
"2022-05-03 14:20:00",8,0.535,15.4,7.86,0.818,0.41818,0.80991,0.32596,41.242,49.4
"2022-05-03 14:40:00",9,0.48,13.46,7.52,0.71523,0.39931,0.77745,0.31639,39.31,49.527
"2022-05-03 15:00:00",10,0.699,20.5,9.76,1.08846,0.51837,0.96813,0.35921,39.879,46.947
"2022-05-03 15:20:00",11,0.558,15.4,9.06,0.81791,0.4815,0.84901,0.36954,44.997,49.692
"2022-05-03 15:40:00",12,0.516,14.08,8.6,0.74786,0.45689,0.78882,0.35634,44.734,50.413
"2022-05-03 16:00:00",13,0.568,16.06,8.73,0.85364,0.46356,0.80687,0.31844,47.718,48.854
"2022-05-03 16:20:00",14,0.555,15.33,9.01,0.81415,0.47854,0.83637,0.34994,45.763,48.963
"2022-05-03 16:40:00",15,0.6,17.75,8.15,0.94223,0.4325,0.84859,0.29892,43.652,47.007
"2022-05-03 17:00:00",16,0.466,13.01,7.38,0.69117,0.3923,0.73809,0.31582,43.803,50.874
"2022-05-03 17:20:00",17,0.769,22.88,10.31,1.21536,0.54827,0.93293,0.33484,39.512,44.365
"2022-05-03 17:40:00",18,0.55,15.65,8.33,0.83119,0.44212,0.78428,0.28588,41.945,45.558
"2022-05-03 18:00:00",19,0.62,18.73,7.93,0.99491,0.4216,0.79571,0.27357,41.192,46.716
"2022-05-03 18:20:00",20,0.559,16.46,7.73,0.87489,0.41056,0.69315,0.22758,41.185,44.231
"2022-05-03 18:40:00",21,0.458,13.36,6.5,0.71019,0.3454,0.58106,0.18472,42.333,44.707
"2022-05-03 19:00:00",22,0.38,11.03,5.43,0.58552,0.2888,0.48393,0.14658,43.728,44.451
"2022-05-03 19:20:00",23,0.335,9.65,4.88,0.51279,0.25926,0.42086,0.12696,43.876,44.6
