"TOA5","31219","CR1000X","31219","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Temp_Data"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer","Max_Temp_Down_Outer","Post_Temp_Down_Outer","Pre_Temp_Upper_Outer","Max_Temp_Upper_Outer","Post_Temp_Upper_Outer","Pre_Temp_Down_Inner","Max_Temp_Down_Inner","Post_Temp_Down_Inner","Pre_Temp_Upper_Inner","Max_Temp_Upper_Inner","Post_Temp_Upper_Inner"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,16.669,0.483,17.106,16.616,0.246,16.832,16.146,0.386,16.509,16.045,0.3,16.298
"2022-05-03 12:00:00",1,17.084,0.493,17.527,17.015,0.243,17.229,16.519,0.39,16.886,16.404,0.3,16.657
"2022-05-03 12:20:00",2,17.526,0.507,17.984,17.405,0.24,17.618,16.907,0.393,17.277,16.77,0.295,17.017
"2022-05-03 12:40:00",3,18.1,0.517,18.557,17.95,0.232,18.154,17.357,0.403,17.737,17.2,0.295,17.448
"2022-05-03 13:00:00",4,18.318,0.502,18.763,18.188,0.224,18.378,17.693,0.39,18.056,17.534,0.288,17.77
"2022-05-03 13:20:00",5,18.834,0.516,19.274,18.598,0.218,18.785,18.047,0.406,18.426,17.872,0.286,18.11
"2022-05-03 13:40:00",6,19.589,0.577,20.131,19.241,0.243,19.468,18.526,0.421,18.928,18.319,0.299,18.576
"2022-05-03 14:00:00",7,20.418,0.554,20.926,19.937,0.227,20.137,19.188,0.413,19.579,18.912,0.296,19.162
"2022-05-03 14:20:00",8,21.683,0.499,22.109,21.039,0.222,21.227,20.056,0.417,20.451,19.703,0.301,19.963
"2022-05-03 14:40:00",9,22.921,0.47,23.287,22.153,0.216,22.332,20.964,0.424,21.368,20.558,0.309,20.829
"2022-05-03 15:00:00",10,22.588,0.495,22.98,22.134,0.188,22.266,21.326,0.391,21.682,20.992,0.273,21.204
"2022-05-03 15:20:00",11,22.76,0.582,23.297,22.222,0.249,22.459,21.371,0.424,21.774,21.093,0.293,21.342
"2022-05-03 15:40:00",12,23.391,0.559,23.898,22.806,0.254,23.046,21.925,0.427,22.334,21.642,0.299,21.901
"2022-05-03 16:00:00",13,23.146,0.558,23.672,22.665,0.249,22.889,22.099,0.396,22.471,21.837,0.288,22.071
"2022-05-03 16:20:00",14,23.028,0.577,23.563,22.599,0.25,22.836,22.084,0.403,22.46,21.836,0.284,22.069
"2022-05-03 16:40:00",15,23.135,0.507,23.584,22.882,0.217,23.057,22.377,0.387,22.733,22.14,0.287,22.371
"2022-05-03 17:00:00",16,23.711,0.546,24.212,23.579,0.261,23.83,22.725,0.432,23.141,22.56,0.315,22.841
"2022-05-03 17:20:00",17,23.627,0.455,23.981,23.412,0.179,23.517,23.08,0.369,23.407,22.86,0.264,23.049
"2022-05-03 17:40:00",18,22.676,0.482,23.087,22.679,0.22,22.858,22.529,0.37,22.862,22.385,0.278,22.599
"2022-05-03 18:00:00",19,23.174,0.441,23.531,23.127,0.199,23.259,22.779,0.376,23.122,22.64,0.286,22.865
"2022-05-03 18:20:00",20,21.89,0.418,22.233,21.974,0.209,22.117,22.223,0.339,22.517,22.14,0.27,22.335
"2022-05-03 18:40:00",21,20.965,0.413,21.319,21.106,0.231,21.28,21.536,0.332,21.827,21.503,0.276,21.709
"2022-05-03 19:00:00",22,20.345,0.404,20.697,20.497,0.249,20.693,21,0.33,21.291,20.988,0.285,21.206
"2022-05-03 19:20:00",23,19.761,0.393,20.105,19.925,0.258,20.131,20.506,0.327,20.795,20.511,0.288,20.734
"2022-05-03 19:40:00",24,19.171,0.384,19.509,19.355,0.264,19.568,20.015,0.321,20.298,20.035,0.289,20.26
