"TOA5","31219","CR1000X","31219","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,21.56,32.03,1742,2180,302.42,3.003
"2022-05-03 12:00:00",1,20.92,31.77,1715,2169,303.973,3.002
"2022-05-03 12:20:00",2,19.72,31.27,1665,2148,303.457,3.002
"2022-05-03 12:40:00",3,19.03,30.07,1636,2098,303.938,3.001
"2022-05-03 13:00:00",4,20.22,31.8,1686,2170,304.184,3.001
"2022-05-03 13:20:00",5,19.17,29.81,1642,2087,304.528,3.003
"2022-05-03 13:40:00",6,15.04,28.07,1469,2014,304.7,3.002
"2022-05-03 14:00:00",7,16.64,29.19,1536,2061,305.819,3.003
"2022-05-03 14:20:00",8,20.63,28.64,1703,2038,305.383,3.001
"2022-05-03 14:40:00",9,23.21,27.9,1811,2007,305.888,3.001
"2022-05-03 15:00:00",10,21.11,32.06,1723,2181,306.531,3.002
"2022-05-03 15:20:00",11,14.89,27.92,1463,2008,306.005,3.001
"2022-05-03 15:40:00",12,16.35,27.61,1524,1995,306.222,3.001
"2022-05-03 16:00:00",13,16.42,31.37,1527,2152,306.232,3.002
"2022-05-03 16:20:00",14,15.32,30.6,1481,2120,307.091,3.005
"2022-05-03 16:40:00",15,20.13,32.58,1682,2203,306.45,3.001
"2022-05-03 17:00:00",16,17.36,27.25,1566,1980,307.344,3.001
"2022-05-03 17:20:00",17,25.03,35.52,1887,2326,308.489,3.004
"2022-05-03 17:40:00",18,22.38,35.24,1776,2314,307.663,3.002
"2022-05-03 18:00:00",19,26.42,34.45,1945,2281,308.27,3.001
"2022-05-03 18:20:00",20,28.85,40.26,2047,2524,307.46,3.001
"2022-05-03 18:40:00",21,29.26,41.31,2064,2568,306.384,3.001
"2022-05-03 19:00:00",22,30.36,41.67,2110,2583,306.328,3.005
"2022-05-03 19:20:00",23,31.46,41.86,2156,2591,304.518,3.001
"2022-05-03 19:40:00",24,32.61,42.96,2204,2637,304.17,3.002
"2022-05-03 20:00:00",25,33.54,43.46,2243,2658,304.662,3.006
"2022-05-03 20:20:00",26,34.47,44.18,2282,2688,304.242,3.005
"2022-05-03 20:40:00",27,34.71,44.32,2292,2694,303.977,3.005
"2022-05-03 21:00:00",28,33.28,42.98,2232,2638,302.377,3.002
"2022-05-03 21:20:00",29,33.59,43.03,2245,2640,301.741,3.001
"2022-05-03 21:40:00",30,32.39,42.53,2195,2619,302.128,3.003
"2022-05-03 22:00:00",31,32.06,41.91,2181,2593,300.971,3.002
"2022-05-03 22:20:00",32,31.7,41.98,2166,2596,300.429,3.002
"2022-05-03 22:40:00",33,31.77,41.69,2169,2584,300.903,3.004
"2022-05-03 23:00:00",34,32.15,42.05,2185,2599,300.699,3.004
"2022-05-03 23:20:00",35,31.96,42.19,2177,2605,300.48,3.004
"2022-05-03 23:40:00",36,32.54,42,2201,2597,300.496,3.006
"2022-05-04 00:00:00",37,33.71,42.51,2250,2618,299.169,3.002
"2022-05-04 00:20:00",38,33.61,42.58,2246,2621,299.486,3.001
"2022-05-04 00:40:00",39,32.8,42.22,2212,2606,299.661,3.002
"2022-05-04 01:00:00",40,32.42,41.91,2196,2593,299.07,3.001
"2022-05-04 01:20:00",41,32.27,41.72,2190,2585,299.098,3.001
"2022-05-04 01:40:00",42,32.32,41.96,2192,2595,299.299,3.001
"2022-05-04 02:00:00",43,31.84,41.29,2172,2567,299.775,3.006
"2022-05-04 02:20:00",44,32.27,41.5,2190,2576,299.036,3.002
"2022-05-04 02:40:00",45,31.7,41.31,2166,2568,298.127,3.002
"2022-05-04 03:00:00",46,30.82,41,2129,2555,298.407,3.001
"2022-05-04 03:20:00",47,31.08,41.19,2140,2563,298.414,3.001
"2022-05-04 03:40:00",48,30.34,40.66,2109,2541,298.578,3.001
"2022-05-04 04:00:00",49,30.22,40.69,2104,2542,298.672,3.002
"2022-05-04 04:20:00",50,30.58,40.83,2119,2548,298.448,3.001
"2022-05-04 04:40:00",51,30.53,40.93,2117,2552,298.97,3.004
"2022-05-04 05:00:00",52,30.15,40.21,2101,2522,299.087,3.004
"2022-05-04 05:20:00",53,31.13,40.5,2142,2534,298.691,3.004
