"TOA5","31219","CR1000X","31219","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,12.52,21.57,44.617,48.797,41.572,39.044,11.2,0.277,11.91,11.19,0
"2022-05-03 12:00:00",1,12.51,22.98,44.476,49.069,39.625,38.232,11.23,0.278,11.92,11.22,0
"2022-05-03 12:20:00",2,12.51,24.63,45.262,48.875,39.997,38.191,11.23,0.278,11.93,11.22,0
"2022-05-03 12:40:00",3,12.51,26.79,43.284,49.371,39.002,38.951,11.24,0.278,11.93,11.23,0
"2022-05-03 13:00:00",4,12.51,26.04,42.832,47.683,38.805,38.34,11.24,0.278,11.93,11.23,0
"2022-05-03 13:20:00",5,12.51,28.72,41.801,48.304,40.251,37.463,11.25,0.278,11.94,11.24,0
"2022-05-03 13:40:00",6,12.51,32.85,46.019,49.631,43.801,38.949,11.26,0.278,11.95,11.25,0
"2022-05-03 14:00:00",7,12.52,37.41,44.271,48.967,40.659,38.131,11.27,0.278,11.96,11.26,0
"2022-05-03 14:20:00",8,12.52,35.43,41.242,49.4,39.848,38.557,11.27,0.278,11.96,11.27,0
"2022-05-03 14:40:00",9,12.52,33.69,39.31,49.527,38.588,39.517,11.28,0.278,11.96,11.27,0
"2022-05-03 15:00:00",10,12.53,36.01,39.879,46.947,35.029,36.524,11.29,0.279,11.97,11.28,0
"2022-05-03 15:20:00",11,12.53,32.93,44.997,49.692,44.532,38.029,11.29,0.279,11.96,11.28,0
"2022-05-03 15:40:00",12,12.53,30.59,44.734,50.413,44.838,38.903,11.28,0.279,11.96,11.28,0
"2022-05-03 16:00:00",13,12.53,30.17,47.718,48.854,41.783,37.604,11.28,0.279,11.96,11.28,0
"2022-05-03 16:20:00",14,12.53,31.86,45.763,48.963,44.215,37.298,11.29,0.279,11.96,11.28,0
"2022-05-03 16:40:00",15,12.54,30.9,43.652,47.007,38.543,37.253,11.29,0.279,11.97,11.29,0
"2022-05-03 17:00:00",16,12.54,32.4,43.803,50.874,45.713,40.708,11.3,0.279,11.97,11.3,0
"2022-05-03 17:20:00",17,12.54,33.76,39.512,44.365,34.66,35.176,11.31,0.28,11.98,11.3,0
