"TOA5","31217","CR1000X","31217","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,0.152,3.83,2.93,0.20332,0.15568,0.13465,-0.00587,57.448,54.298
"2022-05-03 11:40:00",1,0.092,1.72,2.57,0.09134,0.1359,0.02083,-0.03057,45.733,49.917
"2022-05-03 12:00:00",2,0.069,0.67,2.78,0.0353,0.14778,0,-0.01791,47.552,51.993
"2022-05-03 12:20:00",3,0.104,2.08,2.72,0.11087,0.1445,0.06004,-0.00583,49.425,52.783
"2022-05-03 12:40:00",4,0.109,2.33,2.68,0.12394,0.14238,0.06606,-0.00587,51.184,52.993
"2022-05-03 13:00:00",5,0.125,2.72,3.03,0.1445,0.16126,0.07544,0.00291,51.596,52.732
"2022-05-03 13:20:00",6,0.114,2.53,2.68,0.13442,0.14284,0.06748,-0.00881,50.565,52.682
"2022-05-03 13:40:00",7,0.13,2.93,2.97,0.15618,0.15717,0.08834,0.00286,50.503,53.861
"2022-05-03 14:00:00",8,0.117,2.6,2.73,0.13836,0.14516,0.07253,0.00286,49.94,53.557
"2022-05-03 14:20:00",9,0.126,2.78,2.98,0.14817,0.1586,0.08648,0.0086,51.118,54.32
"2022-05-03 14:40:00",10,0.114,2.33,2.93,0.12378,0.15608,0.07365,0.01136,51.801,54.023
"2022-05-03 15:00:00",11,0.125,2.65,3.12,0.14078,0.1657,0.08622,0.01734,51.545,53.509
"2022-05-03 15:20:00",12,0.149,3.22,3.6,0.17071,0.19139,0.1008,0.03202,50.267,53.73
"2022-05-03 15:40:00",13,0.131,2.75,3.28,0.14626,0.17434,0.07408,0.0059,50.438,53.074
"2022-05-03 16:00:00",14,0.087,1.88,2.1,0.09973,0.1112,0.05547,-0.02919,52.552,53.534
"2022-05-03 16:20:00",15,0.12,2.65,2.85,0.14097,0.1511,0.0815,0,51.255,53.375
"2022-05-03 16:40:00",16,0.109,2.4,2.58,0.12736,0.13744,0.0723,-0.00583,50.485,53.017
"2022-05-03 17:00:00",17,0.114,2.48,2.72,0.13216,0.1445,0.07275,-0.00877,51.106,53.484
"2022-05-03 17:20:00",18,0.108,2.33,2.6,0.12434,0.13836,0.06943,-0.01167,51.481,53.032
"2022-05-03 17:40:00",19,0.116,2.52,2.8,0.13353,0.14855,0.0734,0,49.97,53.587
"2022-05-03 18:00:00",20,0.114,2.53,2.68,0.13442,0.14238,0.0736,-0.01173,49.814,53.173
"2022-05-03 18:20:00",21,0.101,2.22,2.4,0.11776,0.12726,0.06448,-0.02369,49.613,52.816
"2022-05-03 18:40:00",22,0.118,2.7,2.67,0.14308,0.14166,0.0773,-0.01487,49.555,52.193
"2022-05-03 19:00:00",23,0.089,2.02,2.02,0.10713,0.10713,0.05207,-0.03841,49.967,52.499
