"TOA5","31217","CR1000X","31217","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,12.55,20.85,57.448,54.298,45.573,37.674,11.19,0.286,11.91,11.18,0
"2022-05-03 11:40:00",1,12.54,23.21,45.733,49.917,40.881,35.768,11.21,0.287,11.92,11.2,0
"2022-05-03 12:00:00",2,12.53,25.99,47.552,51.993,43.937,37.018,11.21,0.287,11.92,11.2,0
"2022-05-03 12:20:00",3,12.53,24.41,49.425,52.783,44.311,36.975,11.21,0.287,11.92,11.2,0
"2022-05-03 12:40:00",4,12.53,29.63,51.184,52.993,44.675,37.596,11.22,0.287,11.93,11.21,0
"2022-05-03 13:00:00",5,12.54,32.14,51.596,52.732,42.865,37.184,11.23,0.287,11.94,11.22,0
"2022-05-03 13:20:00",6,12.54,28.5,50.565,52.682,43.229,37.701,11.23,0.287,11.93,11.22,0
"2022-05-03 13:40:00",7,12.54,27.76,50.503,53.861,43.583,37.229,11.23,0.287,11.93,11.22,0
"2022-05-03 14:00:00",8,12.54,32.28,49.94,53.557,44.672,38.318,11.24,0.287,11.94,11.23,0
"2022-05-03 14:20:00",9,12.54,30.96,51.118,54.32,44.456,38.104,11.24,0.287,11.93,11.23,0
"2022-05-03 14:40:00",10,12.53,27,51.801,54.023,45.293,38.214,11.23,0.287,11.93,11.22,0
"2022-05-03 15:00:00",11,12.54,24.3,51.545,53.509,44.622,38.681,11.22,0.287,11.92,11.22,0
"2022-05-03 15:20:00",12,12.54,22.71,50.267,53.73,43.755,36.416,11.22,0.287,11.92,11.21,0
"2022-05-03 15:40:00",13,12.54,21.29,50.438,53.074,43.097,37.824,11.21,0.287,11.92,11.21,0
"2022-05-03 16:00:00",14,12.53,20.42,52.552,53.534,45.471,37.46,11.21,0.287,11.91,11.2,0
"2022-05-03 16:20:00",15,12.53,20.34,51.255,53.375,44.071,38.231,11.21,0.287,11.91,11.2,0
"2022-05-03 16:40:00",16,12.53,20.16,50.485,53.017,43.558,37.203,11.2,0.287,11.91,11.2,0
"2022-05-03 17:00:00",17,12.53,20.83,51.106,53.484,43.199,37.254,11.2,0.287,11.9,11.19,0
