"TOA5","31217","CR1000X","31217","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,34.47,41.05,2282,2557,312.462,3.005
"2022-05-03 11:40:00",1,51.33,44.47,2987,2700,312.4,3.002
"2022-05-03 12:00:00",2,45.68,42.53,2751,2619,312.425,3.002
"2022-05-03 12:20:00",3,40.64,40.64,2540,2540,313.124,3.003
"2022-05-03 12:40:00",4,40.57,41.09,2537,2559,313.643,3.006
"2022-05-03 13:00:00",5,40.66,40.47,2541,2533,314.081,3.006
"2022-05-03 13:20:00",6,41.84,41.29,2590,2567,313.681,3.004
"2022-05-03 13:40:00",7,40.76,40.21,2545,2522,313.658,3.004
"2022-05-03 14:00:00",8,40.9,40.02,2551,2514,314.451,3.003
"2022-05-03 14:20:00",9,39.66,39.83,2499,2506,314.325,3.001
"2022-05-03 14:40:00",10,39.21,39.04,2480,2473,313.758,3.002
"2022-05-03 15:00:00",11,39.33,39.66,2485,2499,313.463,3.003
"2022-05-03 15:20:00",12,40.35,39.49,2528,2492,312.567,3.002
"2022-05-03 15:40:00",13,41.93,41.02,2594,2556,313.24,3.004
"2022-05-03 16:00:00",14,38.94,41.38,2469,2571,312.331,3.001
"2022-05-03 16:20:00",15,40.14,40.5,2519,2534,312.308,3.001
"2022-05-03 16:40:00",16,40.45,40.64,2532,2540,313.068,3.004
"2022-05-03 17:00:00",17,40.78,40.78,2546,2546,312.872,3.004
"2022-05-03 17:20:00",18,40.64,40.98,2540,2554,313.051,3.006
"2022-05-03 17:40:00",19,41.19,40.66,2563,2541,312.294,3.002
"2022-05-03 18:00:00",20,41.5,41.33,2576,2569,312.951,3.006
"2022-05-03 18:20:00",21,41.72,42.08,2585,2600,312.091,3.001
"2022-05-03 18:40:00",22,41.62,41.81,2581,2589,311.649,3.002
"2022-05-03 19:00:00",23,41.91,42.48,2593,2617,312.232,3.005
"2022-05-03 19:20:00",24,42.36,43.51,2612,2660,310.673,3.001
"2022-05-03 19:40:00",25,42.19,44.13,2605,2686,310.769,3.001
"2022-05-03 20:00:00",26,42.53,44.9,2619,2718,310.652,3.002
"2022-05-03 20:20:00",27,42.46,44.82,2616,2715,310.277,3.001
"2022-05-03 20:40:00",28,43.44,45.25,2657,2733,310.335,3.002
"2022-05-03 21:00:00",29,42.58,45.35,2621,2737,309.86,3.001
"2022-05-03 21:20:00",30,42.96,45.14,2637,2728,310.83,3.006
"2022-05-03 21:40:00",31,42.58,45.37,2621,2738,309.917,3.001
"2022-05-03 22:00:00",32,42.58,45.35,2621,2737,309.84,3.001
"2022-05-03 22:20:00",33,42.79,45.61,2630,2748,310.041,3.002
"2022-05-03 22:40:00",34,42.94,45.54,2636,2745,309.804,3.001
"2022-05-03 23:00:00",35,42.53,45.33,2619,2736,309.657,3.002
"2022-05-03 23:20:00",36,42.84,45.45,2632,2741,310.234,3.004
"2022-05-03 23:40:00",37,42.46,45.45,2616,2741,309.342,3.002
"2022-05-04 00:00:00",38,42.46,45.45,2616,2741,309.231,3.002
"2022-05-04 00:20:00",39,43.01,45.83,2639,2757,310.071,3.006
"2022-05-04 00:40:00",40,43.51,46.16,2660,2771,309.683,3.003
"2022-05-04 01:00:00",41,42.43,45.85,2615,2758,308.285,3.001
"2022-05-04 01:20:00",42,42.17,45.95,2604,2762,309.681,3.006
"2022-05-04 01:40:00",43,41.96,45.95,2595,2762,308.686,3.001
"2022-05-04 02:00:00",44,41.74,45.92,2586,2761,309.517,3.006
"2022-05-04 02:20:00",45,41.84,45.18,2590,2730,309.023,3.002
"2022-05-04 02:40:00",46,41.86,45.21,2591,2731,309.151,3.003
"2022-05-04 03:00:00",47,41.45,44.35,2574,2695,308.904,3.001
"2022-05-04 03:20:00",48,41.26,44.32,2566,2694,308.856,3.002
"2022-05-04 03:40:00",49,41.36,44.25,2570,2691,308.446,3.002
"2022-05-04 04:00:00",50,41.12,43.99,2560,2680,308.187,3.001
"2022-05-04 04:20:00",51,41.29,43.75,2567,2670,309.01,3.003
"2022-05-04 04:40:00",52,41.29,44.15,2567,2687,309.007,3.003
"2022-05-04 05:00:00",53,41.14,43.61,2561,2664,308.285,3.001
