"TOA5","31217","CR1000X","31217","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Temp_Data"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer","Max_Temp_Down_Outer","Post_Temp_Down_Outer","Pre_Temp_Upper_Outer","Max_Temp_Upper_Outer","Post_Temp_Upper_Outer","Pre_Temp_Down_Inner","Max_Temp_Down_Inner","Post_Temp_Down_Inner","Pre_Temp_Upper_Inner","Max_Temp_Upper_Inner","Post_Temp_Upper_Inner"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,21.409,0.381,21.784,20.945,0.333,21.251,20.637,0.34,20.963,20.454,0.342,20.733
"2022-05-03 11:40:00",1,21.016,0.291,21.268,20.637,0.285,20.867,20.486,0.322,20.785,20.273,0.332,20.534
"2022-05-03 12:00:00",2,20.357,0.316,20.645,19.969,0.316,20.247,19.995,0.332,20.308,19.829,0.338,20.099
"2022-05-03 12:20:00",3,20.071,0.343,20.395,19.84,0.323,20.13,19.724,0.343,20.051,19.621,0.345,19.904
"2022-05-03 12:40:00",4,19.743,0.344,20.069,19.546,0.322,19.834,19.522,0.341,19.846,19.444,0.343,19.725
"2022-05-03 13:00:00",5,19.634,0.344,19.961,19.449,0.319,19.732,19.399,0.345,19.728,19.335,0.344,19.615
"2022-05-03 13:20:00",6,19.431,0.337,19.749,19.262,0.315,19.54,19.266,0.34,19.589,19.213,0.343,19.493
"2022-05-03 13:40:00",7,19.345,0.343,19.67,19.2,0.314,19.478,19.171,0.346,19.501,19.14,0.345,19.422
"2022-05-03 14:00:00",8,19.275,0.343,19.6,19.152,0.319,19.435,19.104,0.348,19.437,19.086,0.347,19.374
"2022-05-03 14:20:00",9,19.19,0.35,19.524,19.063,0.321,19.351,19.045,0.349,19.379,19.034,0.346,19.319
"2022-05-03 14:40:00",10,19.234,0.352,19.569,19.121,0.327,19.417,19.041,0.353,19.38,19.032,0.349,19.322
"2022-05-03 15:00:00",11,19.141,0.351,19.476,19.012,0.322,19.303,19.009,0.349,19.343,18.999,0.343,19.282
"2022-05-03 15:20:00",12,19.034,0.344,19.359,18.901,0.311,19.175,18.948,0.349,19.281,18.941,0.338,19.216
"2022-05-03 15:40:00",13,18.759,0.336,19.075,18.618,0.312,18.891,18.796,0.341,19.121,18.793,0.339,19.066
"2022-05-03 16:00:00",14,18.526,0.352,18.863,18.419,0.333,18.724,18.609,0.338,18.932,18.632,0.348,18.921
"2022-05-03 16:20:00",15,18.464,0.345,18.791,18.357,0.318,18.641,18.519,0.343,18.847,18.54,0.343,18.822
"2022-05-03 16:40:00",16,18.354,0.344,18.68,18.252,0.32,18.539,18.424,0.343,18.751,18.447,0.345,18.732
"2022-05-03 17:00:00",17,18.23,0.342,18.553,18.129,0.318,18.412,18.329,0.342,18.656,18.358,0.345,18.641
"2022-05-03 17:20:00",18,18.063,0.343,18.388,17.96,0.32,18.247,18.203,0.341,18.528,18.231,0.345,18.514
"2022-05-03 17:40:00",19,17.915,0.339,18.235,17.831,0.315,18.111,18.085,0.342,18.411,18.128,0.342,18.409
"2022-05-03 18:00:00",20,17.727,0.338,18.045,17.664,0.314,17.942,17.951,0.339,18.275,18.011,0.343,18.292
"2022-05-03 18:20:00",21,17.46,0.336,17.775,17.396,0.315,17.676,17.767,0.334,18.085,17.831,0.342,18.111
"2022-05-03 18:40:00",22,17.207,0.336,17.522,17.161,0.311,17.434,17.574,0.335,17.892,17.657,0.34,17.933
"2022-05-03 19:00:00",23,16.951,0.335,17.266,16.911,0.318,17.194,17.363,0.332,17.678,17.453,0.345,17.736
"2022-05-03 19:20:00",24,16.663,0.331,16.973,16.633,0.317,16.915,17.14,0.325,17.448,17.242,0.344,17.524
