"TOA5","31407","CR1000X","31407","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:00:00",0,29.36,33.83,2068,2255,312.825,3.003
"2022-05-03 10:20:00",1,29.14,33.56,2059,2244,313.691,3.004
"2022-05-03 10:40:00",2,28.64,33.13,2038,2226,312.804,3.002
"2022-05-03 11:00:00",3,27.56,31.96,1993,2177,313.677,3.006
"2022-05-03 11:20:00",4,29.33,34.95,2067,2302,313.526,3.005
"2022-05-03 11:40:00",5,28.57,33.71,2035,2250,313.695,3.004
"2022-05-03 12:00:00",6,29.76,34.57,2085,2286,313.881,3.002
"2022-05-03 12:20:00",7,29.21,33.8,2062,2254,314.25,3.005
"2022-05-03 12:40:00",8,29.38,34.14,2069,2268,313.812,3.002
"2022-05-03 13:00:00",9,28.71,33.18,2041,2228,313.884,3.001
"2022-05-03 13:20:00",10,28.19,33.23,2019,2230,314.196,3.006
"2022-05-03 13:40:00",11,30.05,33.25,2097,2231,313.55,3.001
"2022-05-03 14:00:00",12,28.02,33.16,2012,2227,313.791,3.004
"2022-05-03 14:20:00",13,29,34.38,2053,2278,313.507,3.001
"2022-05-03 14:40:00",14,28.62,33.09,2037,2224,313.299,3.001
"2022-05-03 15:00:00",15,29.43,33.64,2071,2247,314.115,3.006
"2022-05-03 15:20:00",16,29.48,34.81,2073,2296,314.385,3.002
"2022-05-03 15:40:00",17,32.94,35.79,2218,2337,314.898,3.001
"2022-05-03 16:00:00",18,34.78,39.45,2295,2490,315,3.002
"2022-05-03 16:20:00",19,33.04,38.2,2222,2438,315.411,3.003
"2022-05-03 16:40:00",20,31.39,38.08,2153,2433,316.472,3.005
"2022-05-03 17:00:00",21,34.19,39.25,2270,2482,315.752,3.001
"2022-05-03 17:20:00",22,35.14,40.74,2310,2544,315.457,3.002
"2022-05-03 17:40:00",23,34.54,40.04,2285,2515,314.555,3.001
"2022-05-03 18:00:00",24,36.31,41.12,2359,2560,314.575,3.002
"2022-05-03 18:20:00",25,38.15,42.51,2436,2618,315.155,3.006
"2022-05-03 18:40:00",26,37.13,42.6,2393,2622,314.744,3.004
"2022-05-03 19:00:00",27,39.8,44.63,2505,2707,314.227,3.002
"2022-05-03 19:20:00",28,41.93,46.04,2594,2766,314.083,3.007
"2022-05-03 19:40:00",29,43.01,47.53,2639,2828,312.966,3.003
"2022-05-03 20:00:00",30,43.77,48.15,2671,2854,312.866,3.004
"2022-05-03 20:20:00",31,44.13,49.03,2686,2891,312.691,3.004
"2022-05-03 20:40:00",32,43.96,49.1,2679,2894,311.99,3.004
"2022-05-03 21:00:00",33,43.92,48.58,2677,2872,311.742,3.003
"2022-05-03 21:20:00",34,44.87,48.98,2717,2889,311.495,3.003
"2022-05-03 21:40:00",35,43.96,48.86,2679,2884,311.931,3.005
"2022-05-03 22:00:00",36,42.79,48.39,2630,2864,311.839,3.005
"2022-05-03 22:20:00",37,44.3,48.34,2693,2862,311.59,3.006
"2022-05-03 22:40:00",38,45.52,48.58,2744,2872,310.631,3.003
"2022-05-03 23:00:00",39,43.82,48.7,2673,2877,311.239,3.005
"2022-05-03 23:20:00",40,44.27,48.31,2692,2861,310.513,3.005
"2022-05-03 23:40:00",41,43.1,48.55,2643,2871,310.548,3.001
"2022-05-04 00:00:00",42,44.99,49.39,2722,2906,310.128,3.003
"2022-05-04 00:20:00",43,45.04,49.89,2724,2927,310.345,3.005
"2022-05-04 00:40:00",44,44.63,48.05,2707,2850,310.286,3.004
"2022-05-04 01:00:00",45,43.61,48.24,2664,2858,309.192,3.001
"2022-05-04 01:20:00",46,44.25,48.08,2691,2851,309.449,3.003
"2022-05-04 01:40:00",47,43.75,47.96,2670,2846,309.939,3.004
"2022-05-04 02:00:00",48,43.37,47.76,2654,2838,309.046,3.002
"2022-05-04 02:20:00",49,44.35,48.2,2695,2856,309.919,3.004
"2022-05-04 02:40:00",50,42.03,47.53,2598,2828,309.98,3.005
"2022-05-04 03:00:00",51,43.68,47.21,2667,2815,309.589,3.005
"2022-05-04 03:20:00",52,41.86,46.04,2591,2766,310.101,3.007
"2022-05-04 03:40:00",53,42.1,46.93,2601,2803,310.255,3.008
