t.day,sp,numbr,P.MPa,nomID,stemID,k.g.s.MPa,r2,Pleaf.MPa,ver,plc,leaf_area
127.3221487,quke_post,977.1,0,quke_post 977.1 0 MPa,quke_post 977.1,6.51E-05,NA,-0.223,v18,NA,70.46
127.3312957,quke_post,977.2,0,quke_post 977.2 0 MPa,quke_post 977.2,8.72E-05,NA,-0.2,v18,NA,90.211
127.3459179,quke_post,977.3,0,quke_post 977.3 0 MPa,quke_post 977.3,0.000327682,NA,-0.226,v18,NA,63.45
127.3587659,quke_post,59.1,0,quke_post 59.1 0 MPa,quke_post 59.1,0.000185367,NA,-0.094,v18,NA,55.546
127.3706004,quke_post,59.2,0,quke_post 59.2 0 MPa,quke_post 59.2,0.000319438,NA,-0.15,v18,NA,71.215
127.379961,quke_post,59.3,0,quke_post 59.3 0 MPa,quke_post 59.3,0.001068451,NA,-0.14,v18,NA,24.224
127.4017835,quke_post,47.1,0,quke_post 47.1 0 MPa,quke_post 47.1,0.002439282,1,-0.42,v18,NA,28.112
127.4176044,quke_post,47.2,0,quke_post 47.2 0 MPa,quke_post 47.2,1.92E-05,NA,-0.53,v18,NA,41.87
127.4305426,quke_post,47.3,0,quke_post 47.3 0 MPa,quke_post 47.3,0.000180472,NA,-0.161,v18,NA,101.875
127.4535885,quke_post,198.1,0,quke_post 158.1 0 MPa,quke_post 158.1,0.002193171,1,-0.338,v18,NA,48.66
127.470445,quke_post,198.2,0,quke_post 198.2 0 MPa,quke_post 198.2,0.000269029,NA,-0.135,v18,NA,168.718
127.4861007,quke_post,26.1,0,quke_post 26.1 0 MPa,quke_post 26.1,4.84E-05,NA,-0.18,v18,NA,181.452
127.500304,quke_post,26.2,0,quke_post 26.2 0 MPa,quke_post 26.2,2.68E-05,NA,-0.271,v18,NA,152.743
127.5097808,quke_post,26.3,0,quke_post 26.3 0 MPa,quke_post 26.3,0.000715281,NA,-0.063,v18,NA,319.106
127.5209915,quke_post,912.1,0,quke_post 912.1 0 MPa,quke_post 912.1,0.000499111,NA,-0.259,v18,NA,183.343
127.531272,quke_post,912.2,0,quke_post 912.2 0 MPa,quke_post 912.2,4.69E-05,NA,-0.155,v18,NA,45.457
127.541379,quke_post,912.3,0,quke_post 912.3 0 MPa,quke_post 912.3,3.49E-05,NA,-0.416,v18,NA,171.665
127.5560323,quke_post,126.1,0,quke_post 216.1 0 MPa,quke_post 216.1,0.000154122,NA,-0.132,v18,NA,71.892
127.577768,quke_post,126.2,0,quke_post 126.2 0 MPa,quke_post 126.2,0.000465562,NA,-0.103,v18,NA,74.699
127.5957017,quke_post,126.3,0,quke_post 126.3 0 MPa,quke_post 126.3,0.000136612,1,-0.117,v18,NA,171.557
127.6046046,quke_post,208.1,0,quke_post 208.1 0 MPa,quke_post 208.1,7.15E-05,NA,-0.8126,v18,NA,59.436
127.6234083,quke_post,208.3,0,quke_post 208.3 0 MPa,quke_post 208.3,0.000336411,NA,-0.98,v18,NA,58.434
140.3533163,quke_post,977.3.1,0,quke_post 977.31 0 MPa,quke_post 977.31,0.001337586,NA,-0.038,v18,NA,NA
140.367085,quke_post,977.3.2,0,quke_post 977.32 0 MPa,quke_post 977.32,0.000446653,NA,-0.052,v18,NA,NA
140.3762469,quke_post,977.3.3,0,quke_post 977.33 0 MPa,quke_post 977.33,0.001894193,NA,-0.046,v18,NA,NA
140.3843823,quke_post,59.3.1,0,quke_post 59.31 0 MPa,quke_post 59.31,0.000544832,NA,-0.032,v18,NA,NA
140.3906852,quke_post,59.3.2,0,quke_post 59.32 0 MPa,quke_post 59.32,5.80E-05,NA,-0.802,v18,NA,NA
140.3999657,quke_post,59.3.3,0,quke_post 59.33 0 MPa,quke_post 59.33,7.26E-05,NA,-0.04,v18,NA,NA
140.4107728,quke_post,977.2.1,0,quke_post 977.21 0 MPa,quke_post 977.21,0.000344848,NA,-0.08,v18,NA,NA
140.419464,quke_post,977.2.2,0,quke_post 977.22 0 MPa,quke_post 977.22,0.001788736,NA,-0.026,v18,NA,NA
