"sp","numbr","Ptreat.MPa","stemID","nomID","t.s","t.day","dt.s","bal.g","Q.g.s","rmQ.g.s","p.MPa","pleaf.MPa","Tsoln.C","ver","keep","usefork","measure"
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",0,291.394880139063,NA,91.6184,NA,NA,0.01,-0.01,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",10.2716779708862,291.394999024225,10.2716779708862,91.4568,0.0157325804467416,NA,0.01,-0.01,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",20.5447731018066,291.395117925789,10.2730951309204,91.3089,0.0143968295937271,NA,0.01,-0.01,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",30.8293459415436,291.395236960197,10.2845728397369,91.2416,0.00654378174463003,NA,0.01,-0.01,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",41.1142780780792,291.395355998763,10.2849321365356,77.0722,1.37768531788998,NA,0.01,-0.01,25,"v18",FALSE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",51.3823499679565,291.395474842188,10.2680718898773,77.2619,-0.0184747440448884,0.279176753126039,0.01,-0.01,25,"v18",TRUE,FALSE,1
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",0,291.395903856514,NA,77.2576,NA,NA,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",10.2705540657043,291.396022728668,10.2705540657043,77.256,0.000155785168916449,NA,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",20.5190811157227,291.396141345879,10.2485270500183,77.2544,0.000156119995798656,NA,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",30.781375169754,291.396260122431,10.2622940540314,77.2529,0.00014616614882764,NA,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",41.044312953949,291.396378906433,10.2629377841949,77.2513,0.000155900779448872,NA,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",51.3086111545563,291.39649770618,10.2642982006073,77.2497,0.000155880116568628,0.000153970441912049,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",61.5794820785522,291.396616582001,10.270870923996,77.2481,0.000155780362916227,0.000153969480712004,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",71.8290441036224,291.396735211191,10.2495620250702,77.2463,0.000175617260092246,0.000157868933570722,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",82.103157043457,291.396854124536,10.2741129398346,77.2447,0.000155731206127035,0.000159781945030602,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",92.3775141239166,291.396973040705,10.2743570804596,77.2429,0.000175193443822554,0.000163640477905338,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",102.653920173645,291.39709198059,10.2764060497284,77.2412,0.000165427484255745,0.000165549951442762,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",112.927212953568,291.397210884442,10.2732927799225,77.2395,0.000165477616225834,0.000167489402104683,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",123.199793100357,291.397329780045,10.2725801467896,77.2377,0.0001752237484918,0.000167410699784594,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",133.448085069656,291.397448394536,10.2482919692993,77.236,0.000165881300522054,0.000169440718663597,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",143.709745168686,291.39756716375,10.2616600990295,77.2342,0.000175410214588294,0.000169484072816745,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",153.981446027756,291.397686049177,10.2717008590698,77.2325,0.000165503262149229,0.000169499228395442,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",164.248232126236,291.397804877719,10.2667860984802,77.2307,0.000175322635802197,0.000171468232310715,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",174.534192085266,291.397923928182,10.2859599590302,77.2288,0.000184717810254176,0.00017336704466319,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",184.805135011673,291.398042804836,10.2709429264069,77.2269,0.000184987884133187,0.000177188361385417,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",195.053913116455,291.398161424953,10.2487781047821,77.2251,0.00017563069290797,0.000177232457049352,0.445,-0.445,25,"v18",FALSE,FALSE,2
"quke","176_77_1",0,"quke 176_77_1","quke 176_77_1 0 MPa",205.337541103363,291.398280448425,10.283627986908,77.2232,0.000184759697880797,0.000181083744195665,0.445,-0.445,25,"v18",FALSE,FALSE,2
