Slice	Count	Total Area	Average Size	%Area	Perim.	Major	Minor	Angle	Circ.	Solidity	Feret	FeretX	FeretY	FeretAngle	MinFeret
2496.6.jpg	367	236.708	0.645	39.837	1.303	0.137	0.076	39.033	0.849	0.895	0.185	1213.501	1891.387	121.532	0.104
2496_5.jpg	144	156.962	1.090	26.416	1.894	0.355	0.207	42.424	0.848	0.895	0.511	1401.472	1772.917	119.596	0.264
2496_41.jpg	93	150.053	1.613	25.253	2.287	0.415	0.238	49.337	0.813	0.852	0.584	1086.344	1850.602	110.465	0.303
2496_42.jpg	79	96.105	1.217	16.174	1.678	0.343	0.199	38.484	0.863	0.901	0.470	1486.304	1478.709	119.782	0.247
2496_61.jpg	140	158.559	1.133	26.685	1.654	0.286	0.166	31.596	0.884	0.921	0.397	1188.550	2060.729	121.449	0.215
2496_62.jpg	94	165.552	1.761	27.862	2.228	0.338	0.240	38.658	0.860	0.890	0.459	1288.660	1982.947	120.442	0.297
2497_4.jpg	191	105.909	0.554	17.824	0.947	0.160	0.119	38.954	0.844	0.896	0.209	1225.539	2225.199	117.608	0.139
2497_5.jpg	183	102.868	0.562	17.312	1.002	0.171	0.123	49.976	0.813	0.866	0.230	1115.628	1907.421	115.069	0.148
2498_4.jpg	177	155.708	0.880	26.205	1.647	0.262	0.168	39.936	0.826	0.885	0.371	997.740	1496.492	121.324	0.224
2498_5.jpg	36	151.713	4.214	25.532	4.721	0.592	0.285	55.097	0.829	0.860	0.774	1873.667	1852.500	112.228	0.449
2498_6.jpg	163	117.347	0.720	19.749	1.660	0.249	0.141	49.418	0.813	0.880	0.342	1528.442	2100.528	112.993	0.203
2498_51.jpg	29	134.913	4.652	22.705	6.549	1.108	0.744	70.585	0.787	0.844	1.625	1123.138	1653.655	112.633	1.033
2499_6.jpg	88	155.007	1.761	26.087	3.015	0.505	0.374	51.789	0.810	0.878	0.685	1096.443	2166.932	123.175	0.478
2499_41.jpg	140	155.426	1.110	26.157	2.029	0.293	0.226	39.130	0.866	0.907	0.420	1473.907	1683.671	117.885	0.285
2499_42.jpg	229	200.886	0.877	33.808	1.621	0.220	0.156	39.330	0.866	0.907	0.310	1512.520	2065.079	118.919	0.200
2499_51.jpg	194	145.907	0.752	24.555	1.490	0.235	0.180	38.505	0.881	0.921	0.339	1375.753	1896.103	121.564	0.223
2499_52.jpg	123	118.585	0.964	19.957	1.862	0.277	0.201	35.978	0.883	0.924	0.396	1429.203	1970.683	121.834	0.251
2500_41.jpg	81	196.019	2.420	32.989	3.449	0.517	0.307	43.947	0.850	0.894	0.719	1241.432	1994.543	123.325	0.435
2500_42.jpg	72	120.960	1.680	20.357	2.047	0.316	0.216	42.419	0.897	0.909	0.431	1607.375	1896.319	113.005	0.280
2500_51.jpg	122	149.975	1.229	25.240	2.003	0.354	0.196	43.930	0.841	0.910	0.497	1497.992	2169.721	118.179	0.261
2500_52.jpg	91	140.197	1.541	23.594	2.578	0.435	0.265	42.422	0.871	0.903	0.611	1418.549	2239.143	121.407	0.351
2500_61.jpg	173	159.966	0.925	26.921	1.589	0.245	0.134	41.607	0.856	0.898	0.318	1269.497	2064.965	118.027	0.194
2500_62.jpg	119	105.800	0.889	17.806	1.301	0.216	0.152	42.286	0.868	0.902	0.298	1386.218	1860.244	124.489	0.191
