Slice,leaf_area
2496_6,236.708
2496_5,156.962
2496_4,150.053
2496_4,96.105
2496_6,158.559
2496_6,165.552
2497_4,105.909
2497_5,102.868
2498_4,155.708
2498_5,151.713
2498_6,117.347
2498_5,134.913
2499_6,155.007
2499_4,155.426
2499_4,200.886
2499_5,145.907
2499_5,118.585
2500_4,196.019
2500_4,120.96
2500_5,149.975
2500_5,140.197
2500_6,159.966
2500_6,105.8
