"TOA5","31220","CR1000X","31220","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:40:00",0,0.078,0.43,3.58,0.02315,0.19036,0.02571,0.19872,54.773,47.906
"2022-05-03 11:00:00",1,0.094,0.32,4.58,0.01687,0.24309,0.01954,0.24401,54.074,49.585
"2022-05-03 11:20:00",2,0.086,0.32,4.12,0.01644,0.21852,0.0256,0.2181,55.379,49.494
"2022-05-03 11:40:00",3,0.095,0.5,4.37,0.02672,0.23166,0.02586,0.22602,54.651,47.682
"2022-05-03 12:00:00",4,0.087,0.43,4.03,0.0234,0.21384,0.02598,0.22242,55.691,48.153
"2022-05-03 12:20:00",5,0.094,0.3,4.57,0.01632,0.24226,0.01908,0.24036,54.647,48.766
"2022-05-03 12:40:00",6,0.09,0.5,4.1,0.02612,0.21774,0.0287,0.21952,55.4,48.686
"2022-05-03 13:00:00",7,0.107,0.63,4.83,0.03321,0.25656,0.03226,0.2558,55.391,48.008
"2022-05-03 13:20:00",8,0.097,0.43,4.58,0.0234,0.24342,0.02926,0.23986,53.852,47.706
"2022-05-03 13:40:00",9,0.087,0.13,4.43,0.0069,0.23556,0.01654,0.23698,53.687,47.388
"2022-05-03 14:00:00",10,0.091,0.48,4.18,0.02545,0.22236,0.02805,0.22823,56.364,48.67
"2022-05-03 14:20:00",11,0.09,0.45,4.17,0.02364,0.22156,0.02932,0.22312,52.891,48.397
"2022-05-03 14:40:00",12,0.084,0.32,4.03,0.01654,0.21384,0.02244,0.21593,53.774,48.71
"2022-05-03 15:00:00",13,0.095,0.5,4.38,0.02622,0.23313,0.0287,0.23753,55.464,48.334
"2022-05-03 15:20:00",14,0.102,0.7,4.48,0.0371,0.23804,0.04238,0.23774,54.851,48.135
"2022-05-03 15:40:00",15,0.117,0.33,5.77,0.01804,0.30648,0.02062,0.29536,51.902,47.252
"2022-05-03 16:00:00",16,0.093,0.52,4.25,0.02708,0.22554,0.02941,0.22832,54.185,47.209
"2022-05-03 16:20:00",17,0.103,0.7,4.53,0.03734,0.24056,0.03935,0.24302,54.483,48.181
"2022-05-03 16:40:00",18,0.101,0.47,4.72,0.02451,0.2504,0.02681,0.2446,52.741,47.006
"2022-05-03 17:00:00",19,0.096,0.53,4.37,0.02795,0.23195,0.03015,0.2342,52.787,47.31
"2022-05-03 17:20:00",20,0.099,0.53,4.52,0.02834,0.24027,0.03387,0.23736,53.302,47.412
"2022-05-03 17:40:00",21,0.103,0.82,4.38,0.043,0.23311,0.04106,0.23678,53.019,46.719
"2022-05-03 18:00:00",22,0.095,0.33,4.58,0.01812,0.2438,0.02418,0.23976,51.934,46.719
"2022-05-03 18:20:00",23,0.108,0.6,4.93,0.0318,0.262,0.03387,0.25344,53.52,47.635
