"TOA5","31220","CR1000X","31220","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:40:00",0,46.98,41.31,2805,2568,317.51,3.005
"2022-05-03 11:00:00",1,48.2,40.21,2856,2522,318.163,3.001
"2022-05-03 11:20:00",2,46.98,40.98,2805,2554,318.525,3.002
"2022-05-03 11:40:00",3,47.62,41.17,2832,2562,318.517,3.002
"2022-05-03 12:00:00",4,48.05,41.36,2850,2570,319.522,3.004
"2022-05-03 12:20:00",5,46.86,40.38,2800,2529,318.994,3.002
"2022-05-03 12:40:00",6,46.52,41.31,2786,2568,318.312,3.002
"2022-05-03 13:00:00",7,46.95,40.26,2804,2524,317.403,3.002
"2022-05-03 13:20:00",8,47.69,40.86,2835,2549,317.836,3.003
"2022-05-03 13:40:00",9,49.41,40.98,2907,2554,317.576,3.002
"2022-05-03 14:00:00",10,45.28,40.98,2734,2554,319.34,3.006
"2022-05-03 14:20:00",11,48.39,41.64,2864,2582,320.114,3.004
"2022-05-03 14:40:00",12,47.65,41.74,2833,2586,320.661,3.001
"2022-05-03 15:00:00",13,47.02,40.88,2807,2550,320.749,3.001
"2022-05-03 15:20:00",14,48.17,41.84,2855,2590,321.158,3.002
"2022-05-03 15:40:00",15,52.57,41.29,3039,2567,321.018,3.002
"2022-05-03 16:00:00",16,48.77,43.08,2880,2642,320.847,3.002
"2022-05-03 16:20:00",17,48.51,42.1,2869,2601,320.605,3.002
"2022-05-03 16:40:00",18,50.61,42.53,2957,2619,320.873,3.002
"2022-05-03 17:00:00",19,50.3,42.62,2944,2623,320.505,3.002
"2022-05-03 17:20:00",20,50.99,43.39,2973,2655,320.561,3.006
"2022-05-03 17:40:00",21,51.21,43.89,2982,2676,319.315,3.002
"2022-05-03 18:00:00",22,52.45,43.72,3034,2669,319.453,3.006
"2022-05-03 18:20:00",23,50.59,43.2,2956,2647,318.627,3.005
"2022-05-03 18:40:00",24,51.52,42.96,2995,2637,317.508,3.002
"2022-05-03 19:00:00",25,52.02,43.17,3016,2646,317.529,3.002
"2022-05-03 19:20:00",26,51.78,43.37,3006,2654,317.57,3.004
"2022-05-03 19:40:00",27,52.35,43.61,3030,2664,316.91,3.001
"2022-05-03 20:00:00",28,52.26,43.7,3026,2668,316.42,3.002
"2022-05-03 20:20:00",29,51.83,44.15,3008,2687,316.706,3.001
"2022-05-03 20:40:00",30,51.18,44.42,2981,2698,316.054,3.001
"2022-05-03 21:00:00",31,51.14,44.56,2979,2704,315.816,3.002
"2022-05-03 21:20:00",32,51.21,44.61,2982,2706,315.039,3.001
"2022-05-03 21:40:00",33,51.88,45.14,3010,2728,314.758,3.002
"2022-05-03 22:00:00",34,51.02,45.06,2974,2725,315.302,3.003
"2022-05-03 22:20:00",35,51.45,44.99,2992,2722,314.986,3.001
"2022-05-03 22:40:00",36,51.97,45.04,3014,2724,315.172,3.005
"2022-05-03 23:00:00",37,50.66,45.14,2959,2728,314.744,3.002
"2022-05-03 23:20:00",38,51.18,44.99,2981,2722,314.972,3.004
"2022-05-03 23:40:00",39,51.18,44.97,2981,2721,313.844,3.002
"2022-05-04 00:00:00",40,50.3,44.82,2944,2715,314.172,3.001
"2022-05-04 00:20:00",41,50.2,44.94,2940,2720,313.786,3.002
"2022-05-04 00:40:00",42,51.37,45.52,2989,2744,313.626,3.001
"2022-05-04 01:00:00",43,51.02,45.66,2974,2750,314.24,3.003
"2022-05-04 01:20:00",44,50.8,45.66,2965,2750,314.284,3.004
"2022-05-04 01:40:00",45,50.3,45.64,2944,2749,314.209,3.004
"2022-05-04 02:00:00",46,49.75,44.97,2921,2721,313.88,3.001
"2022-05-04 02:20:00",47,49.87,44.66,2926,2708,313.331,3.001
"2022-05-04 02:40:00",48,49.01,44.73,2890,2711,313.644,3.003
"2022-05-04 03:00:00",49,49.49,44.13,2910,2686,313.681,3.003
"2022-05-04 03:20:00",50,49.34,43.82,2904,2673,313.11,3.002
"2022-05-04 03:40:00",51,48.91,44.23,2886,2690,313.205,3.001
"2022-05-04 04:00:00",52,49.46,44.13,2909,2686,313.638,3.005
"2022-05-04 04:20:00",53,49.58,44.01,2914,2681,313.084,3.002
