"TOA5","31220","CR1000X","31220","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:40:00",0,12.65,27.57,54.773,47.906,57.353,50.023,11.36,0.287,12.08,11.35,0
"2022-05-03 11:00:00",1,12.66,27.63,54.074,49.585,55.418,48.502,11.38,0.287,12.09,11.37,0
"2022-05-03 11:20:00",2,12.66,31.92,55.379,49.494,57.392,49.39,11.38,0.287,12.1,11.37,0
"2022-05-03 11:40:00",3,12.66,34.55,54.651,47.682,55.167,48.664,11.39,0.288,12.1,11.38,0
"2022-05-03 12:00:00",4,12.66,32.92,55.691,48.153,56.207,48.874,11.39,0.288,12.1,11.38,0
"2022-05-03 12:20:00",5,12.66,27.34,54.647,48.766,56.971,48.662,11.39,0.288,12.09,11.38,0
"2022-05-03 12:40:00",6,12.66,23.77,55.4,48.686,55.503,48.738,11.38,0.287,12.08,11.37,0
"2022-05-03 13:00:00",7,12.65,21.94,55.391,48.008,55.494,47.905,11.37,0.287,12.07,11.37,0
"2022-05-03 13:20:00",8,12.65,22.81,53.852,47.706,55.608,48.429,11.37,0.287,12.08,11.36,0
"2022-05-03 13:40:00",9,12.65,22.98,53.687,47.388,54.616,48.109,11.37,0.287,12.08,11.36,0
"2022-05-03 14:00:00",10,12.65,34.37,56.364,48.67,59.358,50.219,11.38,0.287,12.1,11.38,0
"2022-05-03 14:20:00",11,12.65,42.7,52.891,48.397,55.062,48.965,11.4,0.288,12.12,11.39,0
"2022-05-03 14:40:00",12,12.66,45.33,53.774,48.71,56.098,49.175,11.41,0.288,12.13,11.41,0
"2022-05-03 15:00:00",13,12.67,45.42,55.464,48.334,56.549,49.057,11.42,0.289,12.14,11.42,0
"2022-05-03 15:20:00",14,12.67,44.83,54.851,48.135,55.368,47.878,11.43,0.289,12.14,11.42,0
"2022-05-03 15:40:00",15,12.67,39.27,51.902,47.252,52.987,47.563,11.42,0.289,12.12,11.42,0
"2022-05-03 16:00:00",16,12.67,34.97,54.185,47.209,54.029,48.347,11.42,0.289,12.12,11.41,0
"2022-05-03 16:20:00",17,12.67,34.07,54.483,48.181,53.915,48.492,11.42,0.288,12.12,11.41,0
