"TOA5","31221","CR1000X","31221","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,12.62,26.34,42.202,32.735,50.998,46.704,11.27,0.29,12,11.26,0
"2022-05-03 12:00:00",1,12.61,40.75,41.334,32.95,51.372,46.249,11.31,0.291,12.04,11.3,0
"2022-05-03 12:20:00",2,12.62,44.92,43.098,32.902,53.969,46.618,11.32,0.291,12.05,11.32,0
"2022-05-03 12:40:00",3,12.62,42.5,42.487,33.014,50.871,46.42,11.33,0.291,12.05,11.32,0
"2022-05-03 13:00:00",4,12.62,35.4,43.208,32.752,52.987,46.313,11.33,0.291,12.04,11.32,0
"2022-05-03 13:20:00",5,12.62,33.79,42.005,33.622,53.852,45.936,11.32,0.291,12.04,11.32,0
"2022-05-03 13:40:00",6,12.62,34.78,42.371,33.004,51.426,46.563,11.32,0.291,12.03,11.32,0
"2022-05-03 14:00:00",7,12.63,43.17,42.031,33.073,53.165,46.641,11.34,0.292,12.05,11.33,0
"2022-05-03 14:20:00",8,12.63,46.9,43.06,32.603,52.273,45.907,11.35,0.292,12.07,11.34,0
"2022-05-03 14:40:00",9,12.63,48.69,41.344,33.372,52.371,46.521,11.36,0.292,12.07,11.35,0
"2022-05-03 15:00:00",10,12.64,48.87,42.899,33.013,52.529,46.575,11.36,0.292,12.08,11.36,0
"2022-05-03 15:20:00",11,12.64,42.71,41.704,33.319,51.33,51.278,11.36,0.292,12.07,11.35,0
"2022-05-03 15:40:00",12,12.64,34.14,41.973,33.016,51.601,45.079,11.35,0.292,12.05,11.34,0
"2022-05-03 16:00:00",13,12.64,29.52,43.213,33.582,53.258,45.75,11.34,0.292,12.04,11.33,0
"2022-05-03 16:20:00",14,12.64,26.35,42.276,33.218,52.888,49.678,11.33,0.291,12.03,11.32,0
"2022-05-03 16:40:00",15,12.64,28.01,42.911,32.868,53.369,46.276,11.33,0.291,12.03,11.33,0
"2022-05-03 17:00:00",16,12.63,31.88,42.6,33.229,52.076,46.122,11.33,0.292,12.03,11.33,0
"2022-05-03 17:20:00",17,12.64,32.48,41.777,33.233,52.237,46.126,11.34,0.292,12.04,11.33,0
