"TOA5","31221","CR1000X","31221","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Sap_Flow_Data"
"TIMESTAMP","RECORD","SapFlowTotal","SFD_Outer","SFD_Inner","Alpha_Outer","Alpha_Inner","Beta_Outer","Beta_Inner","Tmax_Outer","Tmax_Inner"
"TS","RN","L/hr","cm3//cm2hr","cm3/cm2/hr","","","","","secs","secs"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:40:00",0,0.209,4.7,4.8,0.24934,0.25532,0.30268,0.4263,42.202,32.735
"2022-05-03 12:00:00",1,0.169,3.17,4.75,0.1681,0.25209,0.25099,0.4183,41.334,32.95
"2022-05-03 12:20:00",2,0.174,3.25,4.92,0.17254,0.26153,0.244,0.43125,43.098,32.902
"2022-05-03 12:40:00",3,0.181,3.53,4.88,0.18792,0.25963,0.25842,0.4291,42.487,33.014
"2022-05-03 13:00:00",4,0.178,3.23,5.13,0.1715,0.27226,0.24582,0.4378,43.208,32.752
"2022-05-03 13:20:00",5,0.173,3.1,5.03,0.16458,0.267,0.23594,0.4334,42.005,33.622
"2022-05-03 13:40:00",6,0.194,3.77,5.27,0.20038,0.27938,0.26654,0.44892,42.371,33.004
"2022-05-03 14:00:00",7,0.178,3.37,4.95,0.17905,0.26316,0.24714,0.43238,42.031,33.073
"2022-05-03 14:20:00",8,0.179,3.2,5.23,0.17,0.27774,0.24137,0.44416,43.06,32.603
"2022-05-03 14:40:00",9,0.183,3.37,5.22,0.17848,0.27684,0.24888,0.44509,41.344,33.372
"2022-05-03 15:00:00",10,0.176,3.2,5.07,0.17,0.26868,0.23834,0.44088,42.899,33.013
"2022-05-03 15:20:00",11,0.183,3.3,5.33,0.17568,0.28312,0.24848,0.44956,41.704,33.319
"2022-05-03 15:40:00",12,0.204,3.75,5.83,0.19912,0.31015,0.26826,0.47894,41.973,33.016
"2022-05-03 16:00:00",13,0.187,3.33,5.47,0.17694,0.29044,0.24818,0.4565,43.213,33.582
"2022-05-03 16:20:00",14,0.176,3.03,5.3,0.16106,0.28124,0.2354,0.45318,42.276,33.218
"2022-05-03 16:40:00",15,0.183,3.25,5.38,0.17236,0.28586,0.24674,0.45441,42.911,32.868
"2022-05-03 17:00:00",16,0.181,3.13,5.42,0.16654,0.28766,0.24336,0.45528,42.6,33.229
"2022-05-03 17:20:00",17,0.191,3.45,5.53,0.18286,0.29414,0.25913,0.46323,41.777,33.233
"2022-05-03 17:40:00",18,0.19,3.28,5.68,0.1745,0.30144,0.25378,0.46744,41.509,32.863
"2022-05-03 18:00:00",19,0.196,3.45,5.82,0.18286,0.30914,0.25378,0.4755,41.977,33.848
"2022-05-03 18:20:00",20,0.197,3.38,5.97,0.1795,0.3167,0.25522,0.48234,41.192,32.807
"2022-05-03 18:40:00",21,0.211,3.65,6.35,0.19373,0.337,0.26386,0.4996,41.369,32.979
"2022-05-03 19:00:00",22,0.219,3.75,6.6,0.19943,0.35033,0.26885,0.51226,43.166,32.967
"2022-05-03 19:20:00",23,0.216,3.65,6.6,0.19414,0.35033,0.26731,0.51226,43.013,33.228
