"TOA5","25932","CR1000X","25932","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Water_Data"
"TIMESTAMP","RECORD","SWC_Outer","SWC_Inner","Heat_Capacity_Outer","Heat_Capacity_Inner","Pulse_Energy","Pulse_Duration"
"TS","RN","%","%","kJ/m^3","kJ/m^3","J/m","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,29.12,32.56,2058,2202,315.789,3.002
"2022-05-03 11:40:00",1,33.52,37.29,2242,2400,318.252,3.003
"2022-05-03 12:00:00",2,31.56,36.1,2160,2350,318.318,3.001
"2022-05-03 12:20:00",3,26.78,34.47,1960,2282,319.063,3.001
"2022-05-03 12:40:00",4,29.29,35.45,2065,2323,319.793,3.001
"2022-05-03 13:00:00",5,35.17,34.88,2311,2299,320.534,3.003
"2022-05-03 13:20:00",6,32.15,34.54,2185,2285,321.896,3.001
"2022-05-03 13:40:00",7,34.04,32.97,2264,2219,322.136,3.001
"2022-05-03 14:00:00",8,28.19,32.68,2019,2207,322.841,3.002
"2022-05-03 14:20:00",9,26.2,32.54,1936,2201,323.48,3.002
"2022-05-03 14:40:00",10,38.82,37.87,2464,2424,324.091,3.001
"2022-05-03 15:00:00",11,-99,30.7,-99,2124,324.376,3.006
"2022-05-03 15:20:00",12,42.31,32.8,2610,2212,322.682,3.001
"2022-05-03 15:40:00",13,42.94,46.67,2636,2792,322.06,3.001
"2022-05-03 16:00:00",14,39.66,46.57,2499,2788,321.573,3.001
"2022-05-03 16:20:00",15,36.36,43.8,2361,2672,320.671,3.002
"2022-05-03 16:40:00",16,31.82,41.07,2171,2558,319.849,3.001
"2022-05-03 17:00:00",17,-99,37.49,-99,2408,321.006,3.003
"2022-05-03 17:20:00",18,27.99,32.49,2011,2199,320.813,3.002
"2022-05-03 17:40:00",19,41.55,37.56,2578,2411,320.58,3.001
"2022-05-03 18:00:00",20,43.96,42.84,2679,2632,320.617,3.003
"2022-05-03 18:20:00",21,40.81,48.22,2547,2857,320.291,3.003
"2022-05-03 18:40:00",22,47.19,52.21,2814,3024,319.535,3.001
"2022-05-03 19:00:00",23,42.17,50.9,2604,2969,319.049,3.001
"2022-05-03 19:20:00",24,41.98,50.92,2596,2970,319.099,3.003
"2022-05-03 19:40:00",25,42.15,51.4,2603,2990,318.072,3.001
"2022-05-03 20:00:00",26,41.29,50.99,2567,2973,317.301,3.002
"2022-05-03 20:20:00",27,39.92,49.89,2510,2927,316.556,3.002
"2022-05-03 20:40:00",28,40.07,49.18,2516,2897,316.522,3.003
"2022-05-03 21:00:00",29,39.92,49.25,2510,2900,315.721,3.001
"2022-05-03 21:20:00",30,39.95,48.79,2511,2881,315.815,3.002
"2022-05-03 21:40:00",31,40.11,49.03,2518,2891,315.84,3.004
"2022-05-03 22:00:00",32,40,49.1,2513,2894,315.167,3.001
"2022-05-03 22:20:00",33,39.25,48.6,2482,2873,314.858,3.001
"2022-05-03 22:40:00",34,39.66,48.48,2499,2868,314.294,3.002
"2022-05-03 23:00:00",35,39.28,47.76,2483,2838,314.091,3.002
"2022-05-03 23:20:00",36,39.33,47.84,2485,2841,314.406,3.006
"2022-05-03 23:40:00",37,39.52,47.65,2493,2833,313.512,3.002
"2022-05-04 00:00:00",38,39.56,47.91,2495,2844,313.771,3.004
"2022-05-04 00:20:00",39,39.73,47.74,2502,2837,312.93,3.002
"2022-05-04 00:40:00",40,39.35,47.88,2486,2843,312.612,3.002
"2022-05-04 01:00:00",41,38.82,48.29,2464,2860,313.451,3.005
"2022-05-04 01:20:00",42,38.9,48.17,2467,2855,312.947,3.001
"2022-05-04 01:40:00",43,38.56,47.1,2453,2810,312.987,3.001
"2022-05-04 02:00:00",44,38.87,46.83,2466,2799,312.79,3.001
"2022-05-04 02:20:00",45,38.8,46.33,2463,2778,312.45,3.002
"2022-05-04 02:40:00",46,38.7,46.62,2459,2790,312.879,3.002
"2022-05-04 03:00:00",47,38.13,46.12,2435,2769,312.413,3.001
"2022-05-04 03:20:00",48,38.23,46.21,2439,2773,312.904,3.005
"2022-05-04 03:40:00",49,38.2,46.19,2438,2772,312.82,3.004
"2022-05-04 04:00:00",50,38.2,45.97,2438,2763,312.797,3.005
"2022-05-04 04:20:00",51,38.25,45.42,2440,2740,312.195,3.001
"2022-05-04 04:40:00",52,38.11,45.88,2434,2759,312.288,3.002
"2022-05-04 05:00:00",53,37.82,45.52,2422,2744,311.611,3.001
