"TOA5,""25932"",""CR1000X"",""25932"",""CR1000X.Std.05.01"",""CPU:sap_flow.CR1X"",""24332"",""Sap_Flow_Data"""
"TIMESTAMP,""RECORD"",""SapFlowTotal"",""SFD_Outer"",""SFD_Inner"",""Alpha_Outer"",""Alpha_Inner"",""Beta_Outer"",""Beta_Inner"",""Tmax_Outer"",""Tmax_Inner"""
"TS,""RN"",""L/hr"",""cm3//cm2hr"",""cm3/cm2/hr"","""","""","""","""",""secs"",""secs"""
","""",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"""
"2022-05-03 11:20:00,0,0.212,3.42,6.68,0.18134,0.35476,0.21324,0.37216,47.751,51.781"
"2022-05-03 11:40:00,1,0.277,5.8,6.98,0.30814,0.37127,0.2987,0.38931,45.082,47.614"
"2022-05-03 12:00:00,2,0.311,6.88,7.35,0.36564,0.38997,0.33256,0.40676,45.86,47.826"
"2022-05-03 12:20:00,3,0.305,6.8,7.12,0.36079,0.37762,0.32594,0.39142,56.982,49.843"
"2022-05-03 12:40:00,4,0.301,6.33,7.55,0.33644,0.4013,0.32954,0.41463,46.789,49.168"
"2022-05-03 13:00:00,5,0.192,2.57,6.77,0.13646,0.35896,0.19378,0.38127,42.647,49.835"
"2022-05-03 13:20:00,6,0.262,5.77,6.23,0.30665,0.33058,0.29252,0.3581,46.429,48.652"
"2022-05-03 13:40:00,7,0.21,3.2,6.9,0.16956,0.36626,0.20996,0.38826,43.893,50.564"
"2022-05-03 14:00:00,8,0.239,4.83,6.22,0.25674,0.3299,0.28098,0.34928,48.405,51.199"
"2022-05-03 14:20:00,9,0.264,5.7,6.42,0.30252,0.34096,0.29851,0.35768,51.349,53.055"
"2022-05-03 14:40:00,10,0.214,4.28,5.67,0.22704,0.30124,0.22931,0.33914,41.459,47.407"
"2022-05-03 15:00:00,11,0.3,6.48,7.25,0.34408,0.38538,-99,0.39256,-99,55.738"
"2022-05-03 15:20:00,12,0.135,1.55,5.12,0.0822,0.27162,0.18112,-99,38.257,51.397"
"2022-05-03 15:40:00,13,0.317,6.55,8.08,0.34798,0.42967,0.31551,0.44352,38.943,42.824"
"2022-05-03 16:00:00,14,0.28,5.58,7.4,0.29648,0.3929,0.27836,0.40544,41.171,42.724"
"2022-05-03 16:20:00,15,0.266,4.87,7.63,0.25816,0.40544,0.25814,0.40844,41.894,44.275"
"2022-05-03 16:40:00,16,0.268,5.62,6.75,0.29792,0.35802,0.28282,0.37155,47.849,46.245"
"2022-05-03 17:00:00,17,0.292,6.3,7.08,0.335,0.3762,-99,0.37494,-99,50.114"
"2022-05-03 17:20:00,18,0.171,3.17,4.87,0.1681,0.25887,0.18233,-99,52.591,55.126"
"2022-05-03 17:40:00,19,0.181,3.47,4.97,0.18438,0.26406,0.22242,0.29308,40.13,48.304"
"2022-05-03 18:00:00,20,0.165,2.95,4.8,0.1566,0.25459,0.19864,0.29262,38.991,45.354"
"2022-05-03 18:20:00,21,0.269,5.43,7.05,0.28881,0.37399,0.2707,0.377,40.032,43.239"
"2022-05-03 18:40:00,22,0.298,6.48,7.17,0.3441,0.38077,0.29614,0.38524,38.29,41.759"
