"TOA5","25932","CR1000X","25932","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Stem_Temp_Data"
"TIMESTAMP","RECORD","Pre_Temp_Down_Outer","Max_Temp_Down_Outer","Post_Temp_Down_Outer","Pre_Temp_Upper_Outer","Max_Temp_Upper_Outer","Post_Temp_Upper_Outer","Pre_Temp_Down_Inner","Max_Temp_Down_Inner","Post_Temp_Down_Inner","Pre_Temp_Upper_Inner","Max_Temp_Upper_Inner","Post_Temp_Upper_Inner"
"TS","RN","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 11:20:00",0,16.173,0.427,16.577,16.15,0.345,16.487,15.142,0.399,15.527,14.968,0.275,15.238
"2022-05-03 11:40:00",1,16.26,0.395,16.622,16.459,0.293,16.725,15.663,0.369,16.008,15.539,0.25,15.777
"2022-05-03 12:00:00",2,16.618,0.41,17,16.768,0.294,17.033,16.026,0.377,16.379,15.905,0.251,16.144
"2022-05-03 12:20:00",3,17.367,0.453,17.816,17.308,0.327,17.621,16.539,0.389,16.911,16.35,0.263,16.605
"2022-05-03 12:40:00",4,17.825,0.431,18.231,17.836,0.31,18.126,17.083,0.383,17.446,16.902,0.253,17.145
"2022-05-03 13:00:00",5,18.636,0.386,18.981,18.45,0.318,18.751,17.697,0.388,18.065,17.397,0.265,17.654
"2022-05-03 13:20:00",6,19.732,0.41,20.122,19.731,0.306,20.018,18.628,0.392,19.001,18.332,0.274,18.6
"2022-05-03 13:40:00",7,20.819,0.396,21.178,20.36,0.321,20.663,19.47,0.404,19.858,19.069,0.274,19.338
"2022-05-03 14:00:00",8,21.978,0.445,22.402,21.604,0.336,21.932,20.484,0.407,20.879,20.047,0.287,20.331
"2022-05-03 14:20:00",9,23.796,0.465,24.248,22.932,0.345,23.266,21.904,0.409,22.302,21.216,0.286,21.499
"2022-05-03 14:40:00",10,24.492,0.366,24.812,24,0.291,24.255,22.975,0.372,23.321,22.32,0.265,22.576
"2022-05-03 15:00:00",11,25.22,-99,25.797,24.385,-99,24.794,23.488,0.425,23.907,22.828,0.287,23.113
"2022-05-03 15:20:00",12,27.434,0.344,27.7,26.618,0.287,26.863,25.273,0.406,25.664,24.458,-99,24.756
"2022-05-03 15:40:00",13,25.024,0.34,25.286,24.921,0.248,25.106,24.739,0.321,25.011,24.372,0.206,24.549
"2022-05-03 16:00:00",14,23.755,0.358,24.059,23.817,0.271,24.043,23.918,0.321,24.195,23.717,0.214,23.904
"2022-05-03 16:20:00",15,22.91,0.378,23.244,23.021,0.292,23.279,23.208,0.334,23.505,23.09,0.222,23.288
"2022-05-03 16:40:00",16,23.066,0.41,23.458,23.204,0.309,23.495,23.126,0.348,23.445,23.01,0.24,23.233
"2022-05-03 17:00:00",17,23.605,-99,24.153,23.546,-99,23.938,23.329,0.371,23.683,23.141,0.255,23.384
"2022-05-03 17:20:00",18,26.174,0.444,26.607,25.838,0.37,26.204,24.737,0.406,25.136,24.286,-99,24.594
"2022-05-03 17:40:00",19,27.118,0.346,27.409,26.837,0.277,27.079,25.82,0.37,26.169,25.341,0.276,25.609
"2022-05-03 18:00:00",20,27.006,0.333,27.275,26.845,0.273,27.075,26.19,0.339,26.497,25.744,0.253,25.982
"2022-05-03 18:20:00",21,25.214,0.35,25.501,25.258,0.267,25.473,25.422,0.312,25.688,25.18,0.214,25.363
"2022-05-03 18:40:00",22,23.704,0.316,23.941,23.856,0.235,24.024,24.461,0.294,24.701,24.319,0.2,24.483
"2022-05-03 19:00:00",23,22.304,0.341,22.582,22.445,0.26,22.654,23.346,0.299,23.595,23.272,0.205,23.444
"2022-05-03 19:20:00",24,21.183,0.342,21.467,21.371,0.266,21.59,22.365,0.299,22.616,22.349,0.211,22.528
