"TOA5,""31406"",""CR1000X"",""31406"",""CR1000X.Std.05.01"",""CPU:sap_flow.CR1X"",""24332"",""Sap_Flow_Data"""
"TIMESTAMP,""RECORD"",""SapFlowTotal"",""SFD_Outer"",""SFD_Inner"",""Alpha_Outer"",""Alpha_Inner"",""Beta_Outer"",""Beta_Inner"",""Tmax_Outer"",""Tmax_Inner"""
"TS,""RN"",""L/hr"",""cm3//cm2hr"",""cm3/cm2/hr"","""","""","""","""",""secs"",""secs"""
","""",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"",""Smp"""
"2022-05-04 03:00:00,50,0.232,4.23,6.65,0.22458,0.35288,0.22108,0.40938,54.523,43.938"
"2022-05-04 03:20:00,51,0.239,4.42,6.82,0.23452,0.3616,0.22721,0.41722,52.865,43.673"
"2022-05-04 03:40:00,52,0.261,4.97,7.23,0.26401,0.38394,0.25358,0.43718,53.535,45.17"
"2022-05-04 04:00:00,53,0.271,5.18,7.47,0.27486,0.39686,0.26048,0.4516,54.251,43.565"
"2022-05-04 04:20:00,54,0.257,4.58,7.5,0.24373,0.39838,0.23601,0.4472,51.057,45.84"
"2022-05-04 04:40:00,55,0.288,5.53,7.88,0.29406,0.4182,0.27804,0.46338,53.421,45.057"
"2022-05-04 05:00:00,56,0.296,5.7,8.08,0.30304,0.42967,0.28766,0.47663,53.808,44.202"
"2022-05-04 05:20:00,57,0.293,5.48,8.23,0.29132,0.43685,0.27277,0.4833,54.742,44.049"
"2022-05-04 05:40:00,58,0.295,5.53,8.3,0.29414,0.44116,0.28058,0.48992,53.869,44.257"
"2022-05-04 06:00:00,59,0.298,5.45,8.53,0.28948,0.45279,0.28236,0.49826,53.384,45.019"
"2022-05-04 06:20:00,60,0.356,7.15,9.33,0.37985,0.49544,0.36098,0.5326,58.887,45.558"
"2022-05-04 06:40:00,61,0.333,6.5,9,0.34505,0.47782,-99,0.50938,-99,49.926"
"2022-05-04 07:00:00,62,0.528,11.55,12.6,0.61356,0.66944,0.56442,0.69535,64.16,45.612"
"2022-05-04 07:20:00,63,0.549,11.05,14.38,0.58664,0.76411,0.51339,0.78543,48.459,46.288"
"2022-05-04 07:40:00,64,0.686,13.91,17.86,0.73927,0.94887,0.64702,0.93235,51.707,44.319"
"2022-05-04 08:00:00,65,0.746,15.36,19.1,0.81588,1.01389,0.76572,0.99386,66.059,45.446"
"2022-05-04 08:20:00,66,0.605,10.83,17.66,0.5756,0.93803,0.55858,0.96021,52.755,46.605"
"2022-05-04 08:40:00,67,0.643,12.41,17.56,0.65927,0.93317,0.62176,0.96818,60.447,45.72"
