"TOA5","31406","CR1000X","31406","CR1000X.Std.05.01","CPU:sap_flow.CR1X","24332","Diagnostic_Data"
"TIMESTAMP","RECORD","Batt_volt","PTemp","Tmax_Outer","Tmax_Inner","uTmax_Outer","uTmax_Inner","AvgVolts","AvgCurrent","MinVolts","MaxVolts","Diagnostic"
"TS","RN","","","secs","secs","sec","sec","Volts","amps","Volts","Volts",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-05-03 10:20:00",0,12.7,28.29,49.403,43.259,43.051,42.742,11.35,0.293,12.09,11.34,0
"2022-05-03 10:40:00",1,12.7,30.62,48.629,43.414,46.098,43.051,11.37,0.294,12.11,11.36,0
"2022-05-03 11:00:00",2,12.7,24.66,47.066,42.829,42.054,42.311,11.37,0.293,12.1,11.35,0
"2022-05-03 11:20:00",3,12.7,23.47,49.731,43.016,43.481,42.757,11.37,0.293,12.09,11.36,0
"2022-05-03 11:40:00",4,12.69,21.82,51.223,43.682,44.302,44.25,11.36,0.293,12.08,11.35,0
"2022-05-03 12:00:00",5,12.69,21.42,51.598,43.797,47.723,44.521,11.36,0.293,12.08,11.35,0
"2022-05-03 12:20:00",6,12.69,21.67,50.567,43.592,45.452,45.4,11.36,0.293,12.08,11.35,0
"2022-05-03 12:40:00",7,12.69,23.83,51.44,43.898,43.95,43.794,11.36,0.293,12.09,11.35,0
"2022-05-03 13:00:00",8,12.69,25.65,49.759,43.712,43.661,42.369,11.37,0.294,12.09,11.36,0
"2022-05-03 13:20:00",9,12.69,24.37,51.041,43.909,47.01,44.633,11.36,0.293,12.08,11.36,0
"2022-05-03 13:40:00",10,12.69,27.45,51.236,44.675,41.574,44.003,11.37,0.293,12.09,11.36,0
"2022-05-03 14:00:00",11,12.69,27.53,50.868,43.893,47.82,44.462,11.37,0.294,12.09,11.37,0
"2022-05-03 14:20:00",12,12.69,26.64,50.864,43.582,45.855,43.891,11.38,0.294,12.09,11.37,0
"2022-05-03 14:40:00",13,12.69,23.65,50.763,43.221,49.213,45.029,11.37,0.294,12.09,11.37,0
"2022-05-03 15:00:00",14,12.69,22.39,50.967,44.408,46.68,44.305,11.37,0.294,12.09,11.36,0
"2022-05-03 15:20:00",15,12.69,22.9,51.903,43.949,45.241,46.17,11.37,0.294,12.09,11.36,0
"2022-05-03 15:40:00",16,12.69,21.78,52.06,44.519,48.032,44.675,11.37,0.294,12.08,11.36,0
"2022-05-03 16:00:00",17,12.69,20.42,53.691,44.654,47.339,46.047,11.37,0.294,12.08,11.36,0
